도시별,지출목적별,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,07 교통,-,-,-,-,-,-,-,-,-,-,-,-,101.490,98.568,102.204,104.434,101.796,100.00,106.61,116.68
,08 통신,-,-,-,-,-,-,-,-,-,-,-,-,105.192,105.275,105.559,104.614,102.181,100.00,99.45,100.26
,09 오락 및 문화,-,-,-,-,-,-,-,-,-,-,-,-,98.393,100.349,100.886,101.134,101.008,100.00,100.41,103.24
,10 교육,-,-,-,-,-,-,-,-,-,-,-,-,102.192,102.591,103.334,103.800,104.273,100.00,100.48,101.52
,11 음식 및 숙박,-,-,-,-,-,-,-,-,-,-,-,-,90.550,93.523,95.030,96.630,98.471,100.00,102.17,109.55
,12 기타 상품 및 서비스,-,-,-,-,-,-,-,-,-,-,-,-,88.824,92.454,95.651,96.744,98.602,100.00,102.20,107.91
　　　경기도,0 총지수,69.868,72.280,74.284,76.097,78.004,81.767,84.138,86.546,89.871,91.769,92.890,94.038,94.734,95.624,97.545,98.994,99.396,100.00,102.57,107.72
,01 식료품 및 비주류음료,55.886,59.992,61.808,62.519,63.678,66.655,71.703,76.566,82.946,85.659,86.667,86.888,88.176,89.972,93.133,95.521,95.707,100.00,106.33,112.76
,02 주류 및 담배,52.554,53.054,60.956,60.769,61.094,61.526,62.202,62.425,62.878,63.804,64.985,64.973,96.028,96.707,98.433,98.760,99.594,100.00,100.55,102.72
,03 의류 및 신발,69.056,69.140,69.864,71.692,73.550,75.448,79.174,81.387,84.114,88.171,90.686,94.286,95.497,97.251,98.346,99.362,99.259,100.00,100.52,103.61
,"04 주택, 수도, 전기 및 연료",68.786,70.666,71.697,73.848,75.951,79.196,80.809,82.286,85.852,89.843,92.950,95.534,95.953,95.720,97.748,98.382,99.380,100.00,101.92,107.16
,05 가정용품 및 가사 서비스,73.539,73.382,73.935,74.120,76.073,79.553,83.108,83.193,86.639,88.275,88.463,90.962,93.461,94.981,95.945,98.044,100.001,100.00,101.70,106.41
,06 보건,79.343,80.674,82.577,84.367,85.674,87.690,89.865,91.702,93.300,94.026,94.187,94.750,95.970,96.902,97.826,97.977,98.425,100.00,99.89,100.66
,07 교통,75.734,78.719,83.041,86.818,89.952,98.248,94.505,99.826,106.672,110.925,110.089,107.944,99.302,97.342,100.645,103.134,101.277,100.00,106.24,116.41
,08 통신,121.378,119.462,117.323,115.563,113.022,111.380,111.175,110.154,108.366,105.475,105.312,105.216,104.983,105.066,105.351,104.461,102.093,100.00,99.16,100.06
,09 오락 및 문화,95.772,95.629,95.780,93.489,91.733,93.274,96.003,96.985,98.302,98.205,99.187,99.739,99.339,101.035,101.038,101.431,101.085,100.00,100.39,103.15
,10 교육,64.743,68.542,71.673,75.705,80.155,85.077,87.449,89.393,90.920,92.588,93.754,95.053,96.685,98.161,99.270,100.927,101.756,100.00,100.82,102.42
,11 음식 및 숙박,68.250,70.986,72.937,74.079,75.283,78.699,81.757,82.791,85.640,86.495,87.420,88.742,90.436,92.285,94.580,97.524,99.296,100.00,102.75,110.76
,12 기타 상품 및 서비스,61.468,62.945,63.729,67.570,71.165,78.001,83.436,86.570,89.513,86.028,85.811,87.953,90.272,93.354,95.667,96.166,97.905,100.00,102.23,108.66
　　　　　　수원시,0 총지수,69.179,71.616,73.520,75.285,77.282,81.179,83.850,86.411,89.839,91.892,93.035,94.199,95.040,95.696,97.506,98.995,99.336,100.00,102.59,107.93
,01 식료품 및 비주류음료,57.935,62.192,63.606,64.311,65.679,69.061,74.701,79.298,85.677,88.088,88.756,88.280,89.322,90.402,93.352,95.697,96.196,100.00,106.53,113.00
,02 주류 및 담배,51.894,52.345,60.688,60.400,60.834,61.269,61.922,62.068,62.808,63.615,64.672,64.538,95.721,96.328,98.259,98.539,99.301,100.00,100.67,103.05
,03 의류 및 신발,69.664,69.853,70.583,72.536,74.106,75.765,79.559,82.007,84.617,88.463,91.118,94.832,96.282,98.055,98.930,100.087,99.226,100.00,100.49,103.58
,"04 주택, 수도, 전기 및 연료",67.081,69.248,70.281,72.378,75.289,78.381,79.136,80.572,84.433,88.340,91.371,94.201,94.817,94.666,96.458,97.629,98.481,100.00,102.03,107.30
,05 가정용품 및 가사 서비스,71.517,71.198,72.094,72.257,74.317,78.155,81.231,81.024,85.489,87.206,86.898,90.173,92.997,94.282,95.570,98.387,100.260,100.00,101.77,106.41
,06 보건,78.470,79.733,81.714,83.300,84.594,87.223,89.524,91.767,93.434,94.037,93.917,94.244,95.684,96.606,97.459,97.742,98.512,100.00,99.86,100.72
,07 교통,76.085,78.948,83.131,86.975,90.105,98.381,94.620,100.091,106.998,111.651,111.030,108.579,99.596,97.386,100.615,103.254,101.467,100.00,106.21,116.49
,08 통신,121.190,119.332,117.263,115.504,112.943,111.322,111.117,110.097,108.300,105.421,105.279,105.224,104.983,105.066,105.351,104.461,102.093,100.00,99.16,100.06
,09 오락 및 문화,94.249,94.060,94.484,92.232,90.697,92.476,95.508,96.665,98.035,97.865,98.783,99.376,99.084,100.796,100.865,101.206,100.940,100.00,100.12,102.58
,10 교육,60.966,64.976,67.802,71.875,76.322,81.717,85.802,88.176,89.219,91.548,92.895,95.200,97.731,99.270,100.283,101.000,102.281,100.00,100.80,103.12
,11 음식 및 숙박,69.018,71.356,73.077,74.088,75.093,78.796,82.651,84.478,87.765,88.807,89.730,90.453,91.853,92.941,95.010,97.940,98.961,100.00,102.62,111.08
,12 기타 상품 및 서비스,58.966,60.437,61.576,64.593,67.102,73.259,79.354,82.457,85.796,83.994,85.022,87.580,90.781,93.653,96.160,96.275,97.959,100.00,102.39,109.94
　　　　　　성남시,0 총지수,69.929,72.346,74.361,76.301,78.296,82.082,84.257,86.320,89.406,91.543,92.672,93.861,94.584,95.388,97.237,98.827,99.403,100.00,102.42,107.32
,01 식료품 및 비주류음료,56.785,60.503,61.659,62.384,63.689,66.340,70.693,76.133,81.330,84.572,85.892,86.240,87.049,88.286,91.734,94.215,95.184,100.00,105.72,111.91
,02 주류 및 담배,52.967,53.176,60.988,60.887,61.253,61.659,62.340,62.594,63.074,64.126,65.209,65.308,96.359,97.108,98.658,98.829,99.666,100.00,100.66,103.38
,03 의류 및 신발,68.251,68.447,69.107,70.967,72.948,74.769,78.420,80.595,83.430,87.553,90.143,93.623,94.657,96.298,97.522,98.534,99.016,100.00,100.65,103.64
,"04 주택, 수도, 전기 및 연료",67.978,70.147,71.363,74.117,76.371,79.499,81.141,82.253,86.461,91.108,94.425,97.421,98.111,98.108,99.801,99.899,100.679,100.00,102.59,107.42
,05 가정용품 및 가사 서비스,73.656,73.016,73.727,73.917,75.846,79.317,83.316,83.536,86.515,88.606,88.716,91.650,94.470,95.711,96.398,98.204,100.249,100.00,101.47,106.60
,06 보건,78.927,80.190,81.760,84.595,85.657,87.606,89.663,91.681,93.812,94.630,94.867,95.617,96.530,97.318,98.024,98.242,98.378,100.00,99.38,99.84
,07 교통,73.847,76.981,81.489,85.407,89.086,97.546,94.132,99.412,105.676,109.859,109.028,106.965,98.777,97.010,100.287,102.482,100.997,100.00,105.57,114.88
,08 통신,121.463,119.531,117.425,115.653,113.100,111.378,111.221,110.170,108.381,105.490,105.323,105.221,104.991,105.074,105.358,104.467,102.097,100.00,99.16,100.06
,09 오락 및 문화,96.092,95.682,95.627,93.308,91.539,93.284,95.874,96.798,98.121,97.990,99.024,99.591,99.353,100.960,101.009,101.682,101.276,100.00,100.62,103.16
,10 교육,66.628,70.758,75.181,78.834,83.268,87.842,89.640,90.605,91.450,93.746,93.754,93.971,95.456,95.901,96.963,99.754,100.853,100.00,101.11,102.37
